Item Level	Armor Multiplier	Weapon Multiplier	Trinket Multiplier	Jewelry Multiplier
435	0.425219228	0.425219228	0.425219228	0.531524035
436	0.422703717	0.422703717	0.422703717	0.528379646
437	0.420198292	0.420198292	0.420198292	0.525247864
438	0.417702981	0.417702981	0.417702981	0.522128726
439	0.415217812	0.415217812	0.415217812	0.519022265
440	0.412742813	0.412742813	0.412742813	0.515928516
441	0.410278008	0.410278008	0.410278008	0.512847509
442	0.40782342	0.40782342	0.40782342	0.509779275
443	0.405379073	0.405379073	0.405379073	0.506723841
444	0.402944988	0.402944988	0.402944988	0.503681234
445	0.400521184	0.400521184	0.400521184	0.500651479
446	0.39810768	0.39810768	0.39810768	0.497634599
447	0.395704493	0.395704493	0.395704493	0.494630616
448	0.39331164	0.39331164	0.39331164	0.49163955
449	0.390929136	0.390929136	0.390929136	0.488661421
450	0.388556995	0.388556995	0.388556995	0.485696244
451	0.386195229	0.386195229	0.386195229	0.482744036
452	0.38384385	0.38384385	0.38384385	0.479804812
453	0.381502868	0.381502868	0.381502868	0.476878585
454	0.379172293	0.379172293	0.379172293	0.473965367
455	0.376852134	0.376852134	0.376852134	0.471065167
456	0.374542396	0.374542396	0.374542396	0.468177995
457	0.372243087	0.372243087	0.372243087	0.465303859
458	0.369954212	0.369954212	0.369954212	0.462442765
459	0.367675775	0.367675775	0.367675775	0.459594719
460	0.36540778	0.36540778	0.36540778	0.456759725
461	0.363150228	0.363150228	0.363150228	0.453937785
462	0.360903121	0.360903121	0.360903121	0.451128901
463	0.358666459	0.358666459	0.358666459	0.448333074
464	0.356440243	0.356440243	0.356440243	0.445550303
465	0.35422447	0.35422447	0.35422447	0.442780587
466	0.352019138	0.352019138	0.352019138	0.440023922
467	0.349824245	0.349824245	0.349824245	0.437280306
468	0.347639786	0.347639786	0.347639786	0.434549732
469	0.345465756	0.345465756	0.345465756	0.431832195
470	0.343302151	0.343302151	0.343302151	0.429127688
471	0.341148963	0.341148963	0.341148963	0.426436204
472	0.339006186	0.339006186	0.339006186	0.423757732
473	0.336873811	0.336873811	0.336873811	0.421092264
474	0.33475183	0.33475183	0.33475183	0.418439788
475	0.332640234	0.332640234	0.332640234	0.415800293
476	0.330539013	0.330539013	0.330539013	0.413173766
477	0.328448155	0.328448155	0.328448155	0.410560193
478	0.326367649	0.326367649	0.326367649	0.407959561
479	0.324297483	0.324297483	0.324297483	0.405371854
480	0.322237645	0.322237645	0.322237645	0.402797056
481	0.32018812	0.32018812	0.32018812	0.400235149
482	0.318148894	0.318148894	0.318148894	0.397686118
483	0.316119953	0.316119953	0.316119953	0.395149942
484	0.314101282	0.314101282	0.314101282	0.392626603
485	0.312092864	0.312092864	0.312092864	0.39011608
486	0.310094683	0.310094683	0.310094683	0.387618354
487	0.308106722	0.308106722	0.308106722	0.385133402
488	0.306128963	0.306128963	0.306128963	0.382661203
489	0.304161387	0.304161387	0.304161387	0.380201734
490	0.302203977	0.302203977	0.302203977	0.377754971
491	0.300256712	0.300256712	0.300256712	0.37532089
492	0.298319573	0.298319573	0.298319573	0.372899466
493	0.296392539	0.296392539	0.296392539	0.370490674
494	0.294475591	0.294475591	0.294475591	0.368094488
495	0.292568705	0.292568705	0.292568705	0.365710882
496	0.290671862	0.290671862	0.290671862	0.363339827
497	0.288785037	0.288785037	0.288785037	0.360981297
498	0.28690821	0.28690821	0.28690821	0.358635262
499	0.285041356	0.285041356	0.285041356	0.356301694
500	0.283184451	0.283184451	0.283184451	0.353980564
501	0.281608668	0.281608668	0.281608668	0.352831555
502	0.280041652	0.280041652	0.280041652	0.351686276
503	0.278483357	0.278483357	0.278483357	0.350544714
504	0.276933732	0.276933732	0.276933732	0.349406858
505	0.275392731	0.275392731	0.275392731	0.348272695
506	0.273860304	0.273860304	0.273860304	0.347142213
507	0.272336404	0.272336404	0.272336404	0.346015401
508	0.270820985	0.270820985	0.270820985	0.344892247
509	0.269313998	0.269313998	0.269313998	0.343772738
510	0.267815396	0.267815396	0.267815396	0.342656864
511	0.266325134	0.266325134	0.266325134	0.341544611
512	0.264843164	0.264843164	0.264843164	0.340435969
513	0.26336944	0.26336944	0.26336944	0.339330925
514	0.261903917	0.261903917	0.261903917	0.338229468
515	0.260446549	0.260446549	0.260446549	0.337131587
516	0.258997291	0.258997291	0.258997291	0.336037269
517	0.257556097	0.257556097	0.257556097	0.334946503
518	0.256122922	0.256122922	0.256122922	0.333859278
519	0.254697723	0.254697723	0.254697723	0.332775582
520	0.253280454	0.253280454	0.253280454	0.331695404
521	0.251871071	0.251871071	0.251871071	0.330618731
522	0.250469531	0.250469531	0.250469531	0.329545554
523	0.24907579	0.24907579	0.24907579	0.32847586
524	0.247689804	0.247689804	0.247689804	0.327409639
525	0.246311531	0.246311531	0.246311531	0.326346878
526	0.244940927	0.244940927	0.244940927	0.325287567
527	0.24357795	0.24357795	0.24357795	0.324231694
528	0.242222557	0.242222557	0.242222557	0.323179249
529	0.240874706	0.240874706	0.240874706	0.32213022
530	0.239534356	0.239534356	0.239534356	0.321084596
531	0.238201463	0.238201463	0.238201463	0.320042367
532	0.236875988	0.236875988	0.236875988	0.31900352
533	0.235557888	0.235557888	0.235557888	0.317968045
534	0.234247123	0.234247123	0.234247123	0.316935932
535	0.232943652	0.232943652	0.232943652	0.315907168
536	0.231647434	0.231647434	0.231647434	0.314881744
537	0.230358428	0.230358428	0.230358428	0.313859648
538	0.229076596	0.229076596	0.229076596	0.312840871
539	0.227801896	0.227801896	0.227801896	0.3118254
540	0.226534289	0.226534289	0.226534289	0.310813225
541	0.225273736	0.225273736	0.225273736	0.309804336
542	0.224020197	0.224020197	0.224020197	0.308798721
543	0.222773633	0.222773633	0.222773633	0.307796371
544	0.221534006	0.221534006	0.221534006	0.306797274
545	0.220301277	0.220301277	0.220301277	0.305801421
546	0.219075408	0.219075408	0.219075408	0.304808799
547	0.21785636	0.21785636	0.21785636	0.3038194
548	0.216644095	0.216644095	0.216644095	0.302833213
549	0.215438576	0.215438576	0.215438576	0.301850226
550	0.214239765	0.214239765	0.214239765	0.300870431
551	0.213047625	0.213047625	0.213047625	0.299893815
552	0.211862118	0.211862118	0.211862118	0.29892037
553	0.210683209	0.210683209	0.210683209	0.297950084
554	0.209510859	0.209510859	0.209510859	0.296982949
555	0.208345033	0.208345033	0.208345033	0.296018952
556	0.207185694	0.207185694	0.207185694	0.295058084
557	0.206032806	0.206032806	0.206032806	0.294100336
558	0.204886334	0.204886334	0.204886334	0.293145696
559	0.203746241	0.203746241	0.203746241	0.292194155
560	0.202612492	0.202612492	0.202612492	0.291245702
561	0.201485052	0.201485052	0.201485052	0.290300329
562	0.200363886	0.200363886	0.200363886	0.289358023
563	0.199248958	0.199248958	0.199248958	0.288418777
564	0.198140235	0.198140235	0.198140235	0.287482579
565	0.197037681	0.197037681	0.197037681	0.286549421
566	0.195941262	0.195941262	0.195941262	0.285619291
567	0.194850944	0.194850944	0.194850944	0.28469218
568	0.193766693	0.193766693	0.193766693	0.283768079
569	0.192688476	0.192688476	0.192688476	0.282846977
570	0.191616258	0.191616258	0.191616258	0.281928865
571	0.190550007	0.190550007	0.190550007	0.281013734
572	0.189489689	0.189489689	0.189489689	0.280101573
573	0.188435271	0.188435271	0.188435271	0.279192372
574	0.18738672	0.18738672	0.18738672	0.278286123
575	0.186344004	0.186344004	0.186344004	0.277382816
576	0.18530709	0.18530709	0.18530709	0.276482441
577	0.184275946	0.184275946	0.184275946	0.275584988
578	0.18325054	0.18325054	0.18325054	0.274690448
579	0.18223084	0.18223084	0.18223084	0.273798812
580	0.181216814	0.181216814	0.181216814	0.27291007
581	0.180208431	0.180208431	0.180208431	0.272024214
582	0.179205658	0.179205658	0.179205658	0.271141232
583	0.178208466	0.178208466	0.178208466	0.270261117
584	0.177216822	0.177216822	0.177216822	0.269383858
585	0.176230697	0.176230697	0.176230697	0.268509447
586	0.175250059	0.175250059	0.175250059	0.267637875
587	0.174274877	0.174274877	0.174274877	0.266769131
588	0.173305122	0.173305122	0.173305122	0.265903207
589	0.172340764	0.172340764	0.172340764	0.265040095
590	0.171381771	0.171381771	0.171381771	0.264179783
591	0.170428115	0.170428115	0.170428115	0.263322265
592	0.169479765	0.169479765	0.169479765	0.262467529
593	0.168536693	0.168536693	0.168536693	0.261615569
594	0.167598868	0.167598868	0.167598868	0.260766373
595	0.166666262	0.166666262	0.166666262	0.259919934
596	0.165738845	0.165738845	0.165738845	0.259076243
597	0.164816589	0.164816589	0.164816589	0.25823529
598	0.163899465	0.163899465	0.163899465	0.257397067
599	0.162987444	0.162987444	0.162987444	0.256561565
600	0.162080498	0.162080498	0.162080498	0.255728775
601	0.161178599	0.161178599	0.161178599	0.254898688
602	0.160281718	0.160281718	0.160281718	0.254071295
603	0.159389828	0.159389828	0.159389828	0.253246588
604	0.158502901	0.158502901	0.158502901	0.252424558
605	0.15762091	0.15762091	0.15762091	0.251605197
606	0.156743826	0.156743826	0.156743826	0.250788495
607	0.155871623	0.155871623	0.155871623	0.249974444
608	0.155004273	0.155004273	0.155004273	0.249163035
609	0.15414175	0.15414175	0.15414175	0.24835426
610	0.153284026	0.153284026	0.153284026	0.24754811
611	0.152431075	0.152431075	0.152431075	0.246744578
612	0.15158287	0.15158287	0.15158287	0.245943653
613	0.150739385	0.150739385	0.150739385	0.245145328
614	0.149900594	0.149900594	0.149900594	0.244349595
615	0.14906647	0.14906647	0.14906647	0.243556444
616	0.148236987	0.148236987	0.148236987	0.242765868
617	0.14741212	0.14741212	0.14741212	0.241977858
618	0.146591844	0.146591844	0.146591844	0.241192406
619	0.145776131	0.145776131	0.145776131	0.240409504
620	0.144964958	0.144964958	0.144964958	0.239629143
621	0.144158298	0.144158298	0.144158298	0.238851314
622	0.143356128	0.143356128	0.143356128	0.238076011
623	0.14255842	0.14255842	0.14255842	0.237303224
624	0.141765152	0.141765152	0.141765152	0.236532946
625	0.140976298	0.140976298	0.140976298	0.235765168
626	0.140191833	0.140191833	0.140191833	0.234999882
627	0.139411734	0.139411734	0.139411734	0.23423708
628	0.138635975	0.138635975	0.138635975	0.233476755
629	0.137864534	0.137864534	0.137864534	0.232718897
630	0.137097385	0.137097385	0.137097385	0.231963499
631	0.136334504	0.136334504	0.136334504	0.231210554
632	0.135575869	0.135575869	0.135575869	0.230460052
633	0.134821455	0.134821455	0.134821455	0.229711986
