Level	Rogue	Druid	Hunter	Mage	Paladin	Priest	Shaman	Warlock	Warrior	Death Knight	Monk	Demon Hunter	Item	Consumable	Gem1	Gem2	Gem3	Health	DamageReplaceStat
35	0	0	0	0	0	0	0	0	0	0	0	0	18	2270.664615	3.029213017	3.766048616	4.584754837	2270.664615	4.5
36	0	0	0	0	0	0	0	0	0	0	0	0	18	2859.580868	3.029213017	3.766048616	4.584754837	2339.796072	4.5
37	0	0	0	0	0	0	0	0	0	0	0	0	19	2859.580868	3.029213017	3.766048616	4.584754837	2409.423585	4.75
38	0	0	0	0	0	0	0	0	0	0	0	0	19	2859.580868	3.029213017	3.766048616	4.584754837	2704.960532	4.75
39	0	0	0	0	0	0	0	0	0	0	0	0	20	2859.580868	3.029213017	3.766048616	4.584754837	2782.000124	5
40	0	0	0	0	0	0	0	0	0	0	0	0	20	2859.580868	3.029213017	3.766048616	4.584754837	2859.580868	5
41	0	0	0	0	0	0	0	0	0	0	0	0	21	3460.949092	3.029213017	3.766048616	4.584754837	2926.609142	5.25
42	0	0	0	0	0	0	0	0	0	0	0	0	21	3460.949092	3.029213017	3.766048616	4.584754837	2993.637416	5.25
43	0	0	0	0	0	0	0	0	0	0	0	0	22	3460.949092	3.029213017	3.766048616	4.584754837	3060.66569	5.5
44	0	0	0	0	0	0	0	0	0	0	0	0	22	3460.949092	3.029213017	3.766048616	4.584754837	3127.693964	5.5
45	0	0	0	0	0	0	0	0	0	0	0	0	23	3460.949092	3.029213017	3.766048616	4.584754837	3460.949092	5.75
46	0	0	0	0	0	0	0	0	0	0	0	0	23	4091.147348	3.029213017	3.766048616	4.584754837	3526.048296	5.75
47	0	0	0	0	0	0	0	0	0	0	0	0	24	4091.147348	3.029213017	3.766048616	4.584754837	3592.371993	6
48	0	0	0	0	0	0	0	0	0	0	0	0	24	4091.147348	3.029213017	3.766048616	4.584754837	3659.943215	6
49	0	0	0	0	0	0	0	0	0	0	0	0	25	4091.147348	3.029213017	3.766048616	4.584754837	3728.785428	6.25
50	0	0	0	0	0	0	0	0	0	0	0	0	25	4091.147348	3.029213017	3.766048616	4.584754837	4091.147348	6.25
51	0	0	0	0	0	0	0	0	0	0	0	0	26	4811.423352	3.029213017	3.766048616	4.584754837	4168.100354	6.5
52	0	0	0	0	0	0	0	0	0	0	0	0	26	4811.423352	3.029213017	3.766048616	4.584754837	4246.500819	6.5
53	0	0	0	0	0	0	0	0	0	0	0	0	27	4811.423352	3.029213017	3.766048616	4.584754837	4326.375968	6.75
54	0	0	0	0	0	0	0	0	0	0	0	0	27	4811.423352	3.029213017	3.766048616	4.584754837	4722.593079	6.75
55	0	0	0	0	0	0	0	0	0	0	0	0	28	4811.423352	3.029213017	3.766048616	4.584754837	4811.423352	7
56	0	0	0	0	0	0	0	0	0	0	0	0	28	5633.360214	3.029213017	3.766048616	4.584754837	4901.924491	7
57	0	0	0	0	0	0	0	0	0	0	0	0	29	5633.360214	3.029213017	3.766048616	4.584754837	4994.127923	7.25
58	0	0	0	0	0	0	0	0	0	0	0	0	29	5633.360214	3.029213017	3.766048616	4.584754837	5088.065668	7.25
59	0	0	0	0	0	0	0	0	0	0	0	0	30	5633.360214	4.135645234	5.141612993	6.259354948	5183.770349	7.5
60	0	0	0	0	0	0	0	0	0	0	0	0	30	5633.360214	4.135645234	5.141612993	6.259354948	5633.360214	7.5
61	0	0	0	0	0	0	0	0	0	0	0	0	31	6183.476991	4.135645234	5.141612993	6.259354948	5739.321688	7.75
62	0	0	0	0	0	0	0	0	0	0	0	0	31	6183.476991	4.135645234	5.141612993	6.259354948	5847.27626	7.75
63	0	0	0	0	0	0	0	0	0	0	0	0	32	6183.476991	4.135645234	5.141612993	6.259354948	5957.261418	8
64	0	0	0	0	0	0	0	0	0	0	0	0	33	6183.476991	4.135645234	5.141612993	6.259354948	6069.315358	8.25
65	0	0	0	0	0	0	0	0	0	0	0	0	33	6183.476991	4.135645234	5.141612993	6.259354948	6183.476991	8.25
66	0	0	0	0	0	0	0	0	0	0	0	0	34	7211.521701	4.135645234	5.141612993	6.259354948	6299.785964	8.5
67	0	0	0	0	0	0	0	0	0	0	0	0	34	7211.521701	4.135645234	5.141612993	6.259354948	6418.282666	8.5
68	0	0	0	0	0	0	0	0	0	0	0	0	35	7211.521701	4.135645234	5.141612993	6.259354948	6539.008249	8.75
69	0	0	0	0	0	0	0	0	0	0	0	0	36	7211.521701	4.135645234	5.141612993	6.259354948	7078.379927	9
70	0	0	0	0	0	0	0	0	0	0	0	0	36	7211.521701	4.135645234	5.141612993	6.259354948	7211.521701	9
71	0	0	0	0	0	0	0	0	0	0	0	0	37	7915.751313	4.135645234	5.141612993	6.259354948	7347.167824	9.25
72	0	0	0	0	0	0	0	0	0	0	0	0	38	7915.751313	4.135645234	5.141612993	6.259354948	7485.365402	9.5
73	0	0	0	0	0	0	0	0	0	0	0	0	39	7915.751313	4.135645234	5.141612993	6.259354948	7626.162426	9.75
74	0	0	0	0	0	0	0	0	0	0	0	0	39	7915.751313	4.135645234	5.141612993	6.259354948	7769.607792	9.75
75	0	0	0	0	0	0	0	0	0	0	0	0	40	7915.751313	4.135645234	5.141612993	6.259354948	7915.751313	10
76	0	0	0	0	0	0	0	0	0	0	0	0	41	9199.854361	4.135645234	5.141612993	6.259354948	8064.643741	10.25
77	0	0	0	0	0	0	0	0	0	0	0	0	42	9199.854361	4.135645234	5.141612993	6.259354948	8216.336782	10.5
78	0	0	0	0	0	0	0	0	0	0	0	0	42	9199.854361	4.135645234	5.141612993	6.259354948	8370.883115	10.5
79	0	0	0	0	0	0	0	0	0	0	0	0	43	9199.854361	4.135645234	5.141612993	6.259354948	9030.003255	10.75
80	0	0	0	0	0	0	0	0	0	0	0	0	44	9199.854361	4.135645234	5.141612993	6.259354948	9199.854361	11
81	0	0	0	0	0	0	0	0	0	0	0	0	45	10098.25142	4.788375513	5.953115503	7.247271047	9372.900304	11.25
82	0	0	0	0	0	0	0	0	0	0	0	0	46	10098.25142	4.788375513	5.953115503	7.247271047	9549.20118	11.5
83	0	0	0	0	0	0	0	0	0	0	0	0	46	10098.25142	4.788375513	5.953115503	7.247271047	9728.818211	11.5
84	0	0	0	0	0	0	0	0	0	0	0	0	47	10098.25142	4.788375513	5.953115503	7.247271047	9911.813774	11.75
85	0	0	0	0	0	0	0	0	0	0	0	0	48	10098.25142	4.788375513	5.953115503	7.247271047	10098.25142	12
86	0	0	0	0	0	0	0	0	0	0	0	0	49	11700.17889	4.788375513	5.953115503	7.247271047	10288.19589	12.25
87	0	0	0	0	0	0	0	0	0	0	0	0	50	11700.17889	4.788375513	5.953115503	7.247271047	10481.71314	12.5
88	0	0	0	0	0	0	0	0	0	0	0	0	51	11700.17889	4.788375513	5.953115503	7.247271047	11272.14096	12.75
89	0	0	0	0	0	0	0	0	0	0	0	0	52	11700.17889	4.788375513	5.953115503	7.247271047	11484.16587	13
90	0	0	0	0	0	0	0	0	0	0	0	0	53	11700.17889	4.788375513	5.953115503	7.247271047	11700.17889	13.25
91	0	0	0	0	0	0	0	0	0	0	0	0	54	12842.74114	5.574813013	6.93084861	8.43755483	11920.25504	13.5
92	0	0	0	0	0	0	0	0	0	0	0	0	55	12842.74114	5.574813013	6.93084861	8.43755483	12144.47073	13.75
93	0	0	0	0	0	0	0	0	0	0	0	0	56	12842.74114	5.574813013	6.93084861	8.43755483	12372.90385	14
94	0	0	0	0	0	0	0	0	0	0	0	0	57	12842.74114	5.574813013	6.93084861	8.43755483	12605.63371	14.25
95	0	0	0	0	0	0	0	0	0	0	0	0	58	12842.74114	5.574813013	6.93084861	8.43755483	12842.74114	14.5
96	0	0	0	0	0	0	0	0	0	0	0	0	59	14838.81944	5.574813013	6.93084861	8.43755483	13084.30847	14.75
97	0	0	0	0	0	0	0	0	0	0	0	0	60	14838.81944	5.574813013	6.93084861	8.43755483	14032.02062	15
98	0	0	0	0	0	0	0	0	0	0	0	0	61	14838.81944	5.574813013	6.93084861	8.43755483	14295.95787	15.25
99	0	0	0	0	0	0	0	0	0	0	0	0	63	14838.81944	5.574813013	6.93084861	8.43755483	14564.85968	15.75
100	0	0	0	0	0	0	0	0	0	0	0	0	64	14838.81944	5.574813013	6.93084861	8.43755483	14838.81944	16
101	0	0	0	0	0	0	0	0	0	0	0	0	65	16287.88061	7.04913194	8.987643224	11.10238281	15117.93229	16.25
102	0	0	0	0	0	0	0	0	0	0	0	0	66	16287.88061	7.04913194	8.987643224	11.10238281	15402.29514	16.5
103	0	0	0	0	0	0	0	0	0	0	0	0	67	16287.88061	7.04913194	8.987643224	11.10238281	15692.00676	16.75
104	0	0	0	0	0	0	0	0	0	0	0	0	69	16287.88061	7.04913194	8.987643224	11.10238281	15987.16775	17.25
105	0	0	0	0	0	0	0	0	0	0	0	0	70	16287.88061	7.04913194	8.987643224	11.10238281	16287.88061	17.5
106	0	0	0	0	0	0	0	0	0	0	0	0	71	17878.44753	7.04913194	8.987643224	11.10238281	16594.24977	17.75
107	0	0	0	0	0	0	0	0	0	0	0	0	73	17878.44753	7.04913194	8.987643224	11.10238281	16906.38163	18.25
108	0	0	0	0	0	0	0	0	0	0	0	0	74	17878.44753	7.04913194	8.987643224	11.10238281	17224.38457	18.5
109	0	0	0	0	0	0	0	0	0	0	0	0	75	17878.44753	7.04913194	8.987643224	11.10238281	17548.36903	18.75
110	0	0	0	0	0	0	0	0	0	0	0	0	77	17878.44753	7.04913194	8.987643224	11.10238281	17878.44753	19.25
111	0	0	0	0	0	0	0	0	0	0	0	0	114	51302.84838	30	40	50	31928.07837	28.5
112	0	0	0	0	0	0	0	0	0	0	0	0	132	51302.84838	30	40	50	37334.80272	33
113	0	0	0	0	0	0	0	0	0	0	0	0	150	51302.84838	30	40	50	42575.66171	37.5
114	0	0	0	0	0	0	0	0	0	0	0	0	168	51302.84838	30	40	50	47335.4115	42
115	0	0	0	0	0	0	0	0	0	0	0	0	184	51302.84838	30	40	50	51302.84838	46
116	0	0	0	0	0	0	0	0	0	0	0	0	202	83128.53635	30	40	50	55336.3986	50.5
117	0	0	0	0	0	0	0	0	0	0	0	0	216	83128.53635	30	40	50	58172.03557	54
118	0	0	0	0	0	0	0	0	0	0	0	0	231	83128.53635	30	40	50	61084.37407	57.75
119	0	0	0	0	0	0	0	0	0	0	0	0	248	83128.53635	30	40	50	64795.58976	62
120	0	0	0	0	0	0	0	0	0	0	0	0	311	83128.53635	30	40	50	83128.53635	77.75
121	0	0	0	0	0	0	0	0	0	0	0	0	311	83128.53635	30	40	50	83128.53635	77.75
122	0	0	0	0	0	0	0	0	0	0	0	0	311	83128.53635	30	40	50	83128.53635	77.75
123	0	0	0	0	0	0	0	0	0	0	0	0	311	83128.53635	30	40	50	83128.53635	77.75
